Model,MSE,RMSE,R2 Score
KNN,44.66234880790789,6.6829895112822,0.9800404686863938
Random Forest,197.83768980836018,14.065478655501211,0.9115866569909932
XGBoost,229.366374472879,15.144846465807403,0.8974965389019317
Gradient Boosting,273.1898914373588,16.52845701925497,0.8779118801799521
MLP Neural Network,355.9154035416197,18.86572032925379,0.8409419828648619
Decision Tree,360.1299264189747,18.977089513910574,0.839058519419975
Lasso,1774.435174238818,42.12404508399945,0.2070077958391432
Ridge,1788.1447102769207,42.28646012941874,0.20088102639796512
Linear Regression,1788.3754069275874,42.28918782534831,0.20077792843859166
SVR,2032.8136760753955,45.08673503454642,0.09153886203204575
